,Location,buddleja,t_repens,rosebay_willowherb,2_tiny,unknown_3,unknown_4,unknown_5,acer,calluna_vulgaris,unkown_8,Rubus,unknown_10,unknown_11,unknown_12,crataegus_monogyna,unknown_14,Brassica_napus,Querus,unknown_18,unknown_19,unknown_20,ash,unknown_22,unknown_23,unknown_24,unknown_25,unknown_27,Asteraceae ,pinus_sylvestris,unknown_31,unknown_32,erica,unknown_36,unknown_37,unknown_38,unknown_39,eucalyptus,Impatiens_glandulifera
S1,south,11,22,2,0,13,4,22,9,2,7,5,5,4,4,9,22,14,12,6,11,4,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
S2,south,1,0,0,0,1,0,3,3,0,2,0,9,1,4,2,3,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,south,27,31,10,0,7,28,2,1,0,1,6,0,8,42,26,153,8,47,16,9,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8,south,45,8,20,0,5,0,4,5,0,11,0,0,0,4,101,6,1305,35,3,86,5,7,1,44,6,18,5,8,20,0,0,0,0,0,0,0,0,0
S10,south,13,39,3,7,6,6,8,5,2,1,0,9,0,2,12,10,24,33,6,6,4,5,2,7,2,12,0,1,7,20,6,2,0,0,0,0,0,0
S3,north,21,11,0,15,25,0,1,0,0,0,0,0,0,17,159,28,30,9,182,0,1,2,0,46,0,1,0,0,0,0,38,39,0,0,0,0,0,171
S4,north,76,75,0,0,3,0,0,8,0,0,0,15,0,7,9,23,0,15,198,6,0,0,0,0,18,0,208,0,0,0,0,0,0,0,0,0,0,0
S5,north,28,29,1,8,8,0,14,22,0,4,1,1,3,160,158,12,16,17,0,1,0,0,0,8,0,4,0,0,0,0,0,0,0,0,5,7,0,0
S11,north,18,7,0,5,0,0,10,2,103,0,0,5,0,0,23,3,38,9,8,1,1,1,2,1,5,0,0,0,0,0,13,65,0,0,0,0,0,0
S12,north,6,8,2,1,2,0,8.5,1,114,1,2,3,0,1,5,14,128,1,1,0,0,3,2,11,17,4,1,0,0,1,13,79,7,1,0,0,0,0
S13,north,6,5,0,1,0,0,0,0,183,0,0,14,5,4,0,0,27,15,5,3,0,0,0,35,4,0,3,0,0,0,0,159,0,0,0,0,0,0
S14,north,27,0,9,0,0,0,49,5,827,0,0,40,0,16,3,70,1,10,0,0,0,4,65,0,8,7,0,0,0,7,0,415,0,0,0,0,1,0
S15,north,22,9,0,6,4,0,16,5,20,0,0,1,0,0,13,12,104,12,6,0,0,2,0,9,4,4,0,0,0,0,2,35,0,0,0,0,0,0
